<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.10.30	16:00:00	1.11891	1.11911	1.11645	1.11713	22293	0	1
2017.10.30	20:00:00	1.11713	1.11933	1.11694	1.11791	7123	0	0
2017.10.31	00:00:00	1.11791	1.12120	1.11730	1.11994	12465	0	1
2017.10.31	04:00:00	1.11994	1.12199	1.11970	1.12007	13164	0	0
2017.10.31	08:00:00	1.12019	1.12231	1.11922	1.12073	16595	0	0
2017.10.31	12:00:00	1.12075	1.12144	1.11746	1.11750	17868	0	0
2017.10.31	16:00:00	1.11747	1.12046	1.11725	1.12022	19884	0	0
2017.10.31	20:00:00	1.12022	1.12025	1.11785	1.11803	11489	0	0
2017.11.01	00:00:00	1.11797	1.11861	1.10761	1.11142	15366	0	0
2017.11.01	04:00:00	1.11142	1.11218	1.10821	1.10843	16459	0	0
2017.11.01	08:00:00	1.10844	1.11074	1.10817	1.10994	18282	0	1
2017.11.01	12:00:00	1.10996	1.11368	1.10961	1.11298	16032	0	1
2017.11.01	16:00:00	1.11298	1.11499	1.11270	1.11278	19215	0	0
2017.11.01	20:00:00	1.11278	1.11490	1.11175	1.11418	15150	0	0
2017.11.02	00:00:00	1.11418	1.11487	1.11226	1.11248	13209	0	0
2017.11.02	04:00:00	1.11250	1.11581	1.11178	1.11316	16734	0	0
2017.11.02	08:00:00	1.11316	1.11583	1.11284	1.11477	16657	0	0
2017.11.02	12:00:00	1.11479	1.11705	1.11396	1.11576	20754	0	1
2017.11.02	16:00:00	1.11576	1.11612	1.11484	1.11526	20858	0	1
2017.11.02	20:00:00	1.11526	1.11658	1.11506	1.11583	12347	0	4
2017.11.03	00:00:00	1.11583	1.11637	1.10991	1.11134	10994	0	1
2017.11.03	04:00:00	1.11133	1.11150	1.10726	1.10857	9282	0	0
2017.11.03	08:00:00	1.10857	1.10947	1.10481	1.10797	13575	0	0
2017.11.03	12:00:00	1.10797	1.10946	1.10430	1.10687	24210	0	1
2017.11.03	16:00:00	1.10666	1.10773	1.10607	1.10728	20185	0	1
2017.11.03	20:00:00	1.10725	1.10770	1.10637	1.10713	3315	0	1
2017.11.06	00:00:00	1.10516	1.10815	1.10516	1.10730	13219	0	0
2017.11.06	04:00:00	1.10733	1.11140	1.10733	1.11060	11910	0	0
2017.11.06	08:00:00	1.11060	1.11265	1.10942	1.11125	16326	0	1
2017.11.06	12:00:00	1.11125	1.11206	1.10915	1.10961	13678	0	1
2017.11.06	16:00:00	1.10961	1.11153	1.10813	1.10924	16587	0	1
2017.11.06	20:00:00	1.10922	1.11051	1.10527	1.10703	12051	0	0
2017.11.07	00:00:00	1.10713	1.10829	1.10612	1.10762	12241	0	0
2017.11.07	04:00:00	1.10757	1.10956	1.10657	1.10813	14000	0	0
2017.11.07	08:00:00	1.10812	1.10906	1.10579	1.10606	17078	0	2
2017.11.07	12:00:00	1.10606	1.10811	1.10545	1.10759	16520	0	1
2017.11.07	16:00:00	1.10759	1.10848	1.10641	1.10734	21052	0	1
2017.11.07	20:00:00	1.10734	1.10754	1.10659	1.10737	9843	0	0
2017.11.08	00:00:00	1.10737	1.10836	1.10607	1.10685	11246	0	0
2017.11.08	04:00:00	1.10685	1.10873	1.10660	1.10682	11863	0	0
2017.11.08	08:00:00	1.10683	1.10968	1.10662	1.10913	17919	0	0
2017.11.08	12:00:00	1.10916	1.10942	1.10713	1.10818	17715	0	2
2017.11.08	16:00:00	1.10815	1.10961	1.10725	1.10927	18071	0	0
2017.11.08	20:00:00	1.10926	1.10954	1.10121	1.10165	10718	0	0
2017.11.09	00:00:00	1.10150	1.10463	1.10094	1.10439	12985	0	0
2017.11.09	04:00:00	1.10435	1.10495	1.10267	1.10368	17124	0	0
2017.11.09	08:00:00	1.10366	1.10435	1.10185	1.10231	19675	0	0
2017.11.09	12:00:00	1.10230	1.10453	1.10152	1.10308	20397	0	0
2017.11.09	16:00:00	1.10308	1.10393	1.10175	1.10305	24421	0	1
2017.11.09	20:00:00	1.10315	1.10693	1.10273	1.10508	10936	0	1
2017.11.10	00:00:00	1.10508	1.10772	1.10420	1.10682	14646	0	0
2017.11.10	04:00:00	1.10682	1.10947	1.10651	1.10695	11532	0	0
2017.11.10	08:00:00	1.10695	1.10793	1.10452	1.10482	19286	0	0
2017.11.10	12:00:00	1.10481	1.10564	1.10344	1.10362	16062	0	1
2017.11.10	16:00:00	1.10363	1.10581	1.10342	1.10581	19971	0	2
2017.11.10	20:00:00	1.10578	1.10642	1.10306	1.10306	5380	0	3
2017.11.13	00:00:00	1.10437	1.10586	1.10376	1.10525	10962	0	1
2017.11.13	04:00:00	1.10530	1.10713	1.10469	1.10537	8608	0	0
2017.11.13	08:00:00	1.10535	1.10666	1.10463	1.10663	14833	0	1
2017.11.13	12:00:00	1.10665	1.10753	1.10555	1.10589	12695	0	4
2017.11.13	16:00:00	1.10589	1.10687	1.10448	1.10485	12355	0	1
2017.11.13	20:00:00	1.10485	1.10535	1.10391	1.10391	5636	0	2
2017.11.14	00:00:00	1.10391	1.10939	1.10336	1.10804	13097	0	0
2017.11.14	04:00:00	1.10809	1.11323	1.10777	1.11178	10560	0	0
2017.11.14	08:00:00	1.11179	1.11398	1.11059	1.11137	17999	0	0
2017.11.14	12:00:00	1.11137	1.11319	1.11004	1.11144	19950	0	0
2017.11.14	16:00:00	1.11139	1.11142	1.10742	1.10814	17543	0	2
2017.11.14	20:00:00	1.10815	1.11004	1.10767	1.10935	7146	0	4
2017.11.15	00:00:00	1.10935	1.11039	1.10174	1.10181	14286	0	1
2017.11.15	04:00:00	1.10178	1.10439	1.10094	1.10409	10880	0	0
2017.11.15	08:00:00	1.10412	1.10490	1.10084	1.10098	19350	0	1
2017.11.15	12:00:00	1.10101	1.10165	1.09889	1.10107	18797	0	1
2017.11.15	16:00:00	1.10108	1.10320	1.10069	1.10289	21262	0	2
2017.11.15	20:00:00	1.10286	1.10443	1.10263	1.10298	8372	0	2
2017.11.16	00:00:00	1.10298	1.10835	1.10184	1.10744	11373	0	1
2017.11.16	04:00:00	1.10744	1.10927	1.10625	1.10696	9188	0	1
2017.11.16	08:00:00	1.10693	1.10870	1.10629	1.10832	17445	0	1
2017.11.16	12:00:00	1.10833	1.10978	1.10794	1.10853	14028	0	1
2017.11.16	16:00:00	1.10852	1.10890	1.10590	1.10781	16854	0	2
2017.11.16	20:00:00	1.10779	1.10851	1.10653	1.10740	7567	0	2
2017.11.17	00:00:00	1.10740	1.10827	1.10430	1.10499	10613	0	1
2017.11.17	04:00:00	1.10499	1.10765	1.10435	1.10679	14277	0	1
2017.11.17	08:00:00	1.10679	1.11299	1.10569	1.11137	20222	0	2
2017.11.17	12:00:00	1.11136	1.11299	1.11032	1.11082	13826	0	1
2017.11.17	16:00:00	1.11082	1.11101	1.10803	1.11023	18064	0	1
2017.11.17	20:00:00	1.11021	1.11093	1.10911	1.10940	8273	0	5
2017.11.20	00:00:00	1.11067	1.11166	1.10913	1.10992	16069	0	3
2017.11.20	04:00:00	1.10994	1.11050	1.10698	1.10749	12579	0	0
